jn	abs	pmid
1. Vet Microbiol. 2018 Nov;226:89-96. doi: 10.1016/j.vetmic.2018.10.001. Epub 2018	Oct 10.  Efficacy of a modified-live virus vaccine in pigs experimentally infected with a  highly pathogenic porcine reproductive and respiratory syndrome virus type 1 (HP-PRRSV-1).  Canelli E(1), Catella A(2), Borghetti P(2), Ferrari L(2), Ogno G(2), De Angelis E(2), Bonilauri P(3), Guazzetti S(4), Nardini R(5), Martelli P(2).  Author information:  (1)Department of Veterinary Science, University of Parma, Strada del Taglio 10, 43126, Parma, Italy. Electronic address: elena.canelli@unipr.it. (2)Department of Veterinary Science, University of Parma, Strada del Taglio 10, 43126, Parma, Italy. (3)IZSLER, Istituto Zooprofilattico Sperimentale della Lombardia e dell'Emilia Romagna "B. Ubertini", Unit of Reggio Emilia, Via Pitagora 2, 42100, Reggio Emilia, Italy. (4)AUSL Reggio Emilia, Via Giovanni Amendola 2, 42122, Reggio Emilia, Italy. (5)IZSLT, Istituto Zooprofilattico Sperimentale del Lazio e della Toscana "M. Aleandri", Via Appia Nuova, 1411, 00178 Rome, Italy.  PRRS is one of the main viral diseases in pig production, causing huge economic losses to the swine industry worldwide. The virus shows an intrinsic genomic instability and is able to change continuously, with the emergence of new strains, with different pathogenicity patterns. Commercially available vaccines only partially prevent or counteract the disease and the correlated losses. Moreover, the emergence of highly virulent and pathogenetic isolates represents a particular concern for PRRS control and diagnosis. The purpose of this study was  to evaluate the efficacy of a modified-live virus (MLV) PRRSV-1 commercial vaccine in reducing the severity of the disease and minimizing losses upon challenge with a highly pathogenic PRRSV-1.1 Italian isolate (PRRSV-1_PR40/2014). Four different groups were compared: C (unvaccinated-uninfected), VAC-C (vaccinated-uninfected), PR40 (unvaccinated-infected) and VAC-PR40 (vaccinated-infected). The tested vaccine provided partial, but statistically significant clinical, virological and pathological protection after challenge under experimental conditions. In particular, vaccinated animals showed reduced viremia in terms of duration and magnitude, reduced respiratory signs and pathological lesions. Vaccination was able to trigger adaptive immunity able to respond efficiently also against the HP PR40 isolate. Vaccinated animals showed higher average daily weight gain, even during the viremic period, compared to non-vaccinated challenged pigs.  Copyright © 2018 Elsevier B.V. All rights reserved.  DOI: 10.1016/j.vetmic.2018.10.001 	30389048
2. Res Vet Sci. 2018 Dec;121:106-110. doi: 10.1016/j.rvsc.2018.10.011. Epub 2018 Oct	22.  Development and validation of a monoclonal antibody-based competitive ELISA for detection of antibodies against porcine epidemic diarrhoea virus (PEDV).  Sozzi E(1), Moreno A(2), Lelli D(2), Perulli S(2), Prosperi A(2), Brocchi E(2), Capucci L(2), Papetti A(2), Giacomini E(2), Alborali GL(2), Lavazza A(2).  Author information:  (1)Istituto Zooprofilattico Sperimentale della Lombardia e dell'Emilia-Romagna "Bruno Ubertini", Via Bianchi, 9, 25124 Brescia, Italy. Electronic address: enrica.sozzi@izsler.it. (2)Istituto Zooprofilattico Sperimentale della Lombardia e dell'Emilia-Romagna "Bruno Ubertini", Via Bianchi, 9, 25124 Brescia, Italy.  Porcine epidemic diarrhoea virus (PEDV), belongs to the genus Alphacoronavirus in the family Coronaviridae and causes severe diarrhoea, vomiting, dehydration and high mortality in seronegative newborn piglets. Thus, a precise and rapid diagnosis of PEDV infection is important for the application of control measures  to limit viral dissemination. In this investigation, a monoclonal antibodies (MAbs)-based competitive enzyme-linked immunosorbent assay (ELISA) for detecting  antibodies against PEDV was developed and validated. The diagnostic performance of the test was evaluated by receiver operating characteristic (ROC) analysis using a panel of 829 known sera collected from different commercial pig farms, with or without a history of PED presence and from experimentally infected pigs.  The competitive ELISA showed excellent diagnostic performance and discriminatory  power with high sensitivity (Se) and specificity (Sp) values (Se = 96.5%, 95% IC  94.1-98.1; Sp = 98.2%, 95% IC 96.3-99.3). Moreover, this competitive ELISA method has other properties, such as high feasibility of testing sera without pre-treatment and automatic and instrument-mediated revealing, that makes it appropriate for large-scale screenings of affected pig farms in endemic regions or for monitoring plans in PEDV-free areas.  Copyright © 2018 Elsevier Ltd. All rights reserved.  DOI: 10.1016/j.rvsc.2018.10.011 	30384140
3. Food Chem. 2018 Nov 15;266:79-89. doi: 10.1016/j.foodchem.2018.05.084. Epub 2018 	May 26.  Chemical profiling and multivariate data fusion methods for the identification of the botanical origin of honey.  Ballabio D(1), Robotti E(2), Grisoni F(1), Quasso F(3), Bobba M(4), Vercelli S(3), Gosetti F(3), Calabrese G(5), Sangiorgi E(6), Orlandi M(1), Marengo E(3).  Author information:  (1)Department of Earth and Environmental Sciences, University of Milano Bicocca,  P.zza della Scienza, 1, 20126 Milano, Italy. (2)Department of Sciences and Technological Innovation, University of Piemonte Orientale, Viale Michel 11, 15121 Alessandria, Italy. Electronic address: elisa.robotti@uniupo.it. (3)Department of Sciences and Technological Innovation, University of Piemonte Orientale, Viale Michel 11, 15121 Alessandria, Italy. (4)Department of Sciences and Technological Innovation, University of Piemonte Orientale, Viale Michel 11, 15121 Alessandria, Italy; Istituto Zooprofilattico Sperimentale della Lombardia e dell'Emilia Romagna, Via Bianchi 9, 25124 Brescia, Italy. (5)Department of Pharmaceutical and Toxicological Chemistry, University of Napoli Federico II, Via Montesano 49, 80131 Naples, Italy. (6)Istituto Zooprofilattico Sperimentale della Lombardia e dell'Emilia Romagna, Via Bianchi 9, 25124 Brescia, Italy.  The characterization of 72 Italian honey samples from 8 botanical varieties was carried out by a comprehensive approach exploiting data fusion of IR, NIR and Raman spectroscopies, Proton Transfer Reaction - Time of Flight - Mass Spectrometry (PTR-MS) and electronic nose. High-, mid- and low-level data fusion  approaches were tested to verify if the combination of several analytical sources can improve the classification ability of honeys from different botanical origins. Classification was performed on the fused data by Partial Least Squares  - Discriminant Analysis; a strict validation protocol was used to estimate the predictive performances of the models. The best results were obtained with high-level data fusion combining Raman and NIR spectroscopy and PTR-MS, with classification performances better than those obtained on single analytical sources (accuracy of 99% and 100% on test and training samples respectively). The combination of just three analytical sources assures a limited time of analysis.  Copyright © 2018 Elsevier Ltd. All rights reserved.  DOI: 10.1016/j.foodchem.2018.05.084 	30381229
4. ALTEX. 2018;35(4):520-521. doi: 10.14573/altex.1807231.	 3Replacement Winter School - Out of the barriers: In vitro models in toxicology.  Caloni F(1), Sambuy Y(2), Lombardi G(3), Dotti S(3), De Angelis I(4).  Author information:  (1)Department of Veterinary Medicine (DIMEVET), Università degli Studi di Milano, Milan, Italy. (2)CREA, Food & Nutrition Research Centre, Rome, Italy. (3)Istituto Zooprofilattico Sperimentale della Lombardia e dell'Emilia Romagna, Centro di Referenza per i Metodi Alternativi, Benessere e Cura degli Animali da Laboratorio, Brescia, Italy. (4)Dipartimento Ambiente e Salute, Istituto Superiore di Sanità, Rome, Italy.  DOI: 10.14573/altex.1807231 	30375636
5. PLoS One. 2018 Oct 24;13(10):e0205054. doi: 10.1371/journal.pone.0205054.	eCollection 2018.  Milk microbiome diversity and bacterial group prevalence in a comparison between  healthy Holstein Friesian and Rendena cows.  Cremonesi P(1), Ceccarani C(2)(3), Curone G(4), Severgnini M(2), Pollera C(4), Bronzo V(4), Riva F(4), Addis MF(4), Filipe J(4), Amadori M(5), Trevisi E(6), Vigo D(4), Moroni P(4)(7), Castiglioni B(1).  Author information:  (1)Institute of Agricultural Biology and Biotechnology, National Research Council (CNR), Lodi, Italy. (2)Institute of Biomedical Technologies, National Research Council, (CNR), Segrate, Milan, Italy. (3)Dipartimento di Scienze della Salute, San Paolo Hospital Medical School, Università degli Studi di Milano, Milan, Italy. (4)Dipartimento di Medicina Veterinaria, Università degli Studi di Milano, Milan, Italy. (5)Laboratory of Cellular Immunology, Istituto Zooprofilattico Sperimentale della Lombardia e dell'Emilia-Romagna, Brescia, Italy. (6)Department of Animal Sciences, Food and Nutrition (DIANA), Facoltà di Scienze  Agrarie, Alimentari ed Ambientali, Università Cattolica del Sacro Cuore, Piacenza, Italy. (7)Quality Milk Production Services, Animal Health Diagnostic Center, Cornell University, Ithaca, NY, United States of America.  Dry and early lactation periods represent the most critical phases for udder health in cattle, especially in highly productive breeds, such as the Holstein Friesian (HF). On the other hand, some autochthonous cattle breeds, such as the Rendena (REN), have a lower prevalence of mastitis and other transition-related diseases. In this study, milk microbiota of 6 HF and 3 REN cows, all raised on the same farm under the same conditions, was compared. A special focus was placed on the transition period to define bacterial groups' prevalence with a plausible  effect on mammary gland health. Four time points (dry-off, 1 d, 7-10 d and 30 d after calving) were considered. Through 16S rRNA sequencing, we characterized the microbiota composition for 117 out of the 144 milk samples initially collected, keeping only the healthy quarters, in order to focus on physiological microbiome  changes and avoid shifts due to suspected diseases. Microbial populations were very different in the two breeds along all the time points, with REN milk showing a significantly lower microbial biodiversity. The taxonomic profiles of both cosmopolitan and local breeds were dominated by Firmicutes, mostly represented by the Streptococcus genus, although in very different proportions (HF 27.5%, REN 68.6%). Large differences in HF and REN cows were, also, evident from the metabolic predictive analysis from microbiome data. Finally, only HF milk displayed significant changes in the microbial composition along the transition period, while REN maintained a more stable microbiota. In conclusion, in addition to the influence on the final characteristics of dairy products obtained from milk of the two breeds, differences in the milk microbiome might, also, have an impact on their mammary gland health.  DOI: 10.1371/journal.pone.0205054 	30356246
interests exist.	  6. Sci Rep. 2018 Oct 2;8(1):14693. doi: 10.1038/s41598-018-32693-8.  Reconstructing the evolutionary history of pandemic foot-and-mouth disease viruses: the impact of recombination within the emerging O/ME-SA/Ind-2001 lineage.  Bachanek-Bankowska K(1), Di Nardo A(2), Wadsworth J(2), Mioulet V(2), Pezzoni G(3), Grazioli S(3), Brocchi E(3), Kafle SC(4), Hettiarachchi R(5), Kumarawadu PL(5), Eldaghayes IM(6), Dayhum AS(6), Meenowa D(7), Sghaier S(8), Madani H(9), Abouchoaib N(10), Hoang BH(11), Vu PP(11), Dukpa K(12), Gurung RB(12), Tenzin S(12)(13), Wernery U(14), Panthumart A(15), Seeyo KB(15), Linchongsubongkoch W(15), Relmy A(16), Bakkali-Kassimi L(16), Scherbakov A(17), King DP(2), Knowles  NJ(2).  Author information:  (1)The Pirbright Institute, Pirbright, Woking, Surrey, United Kingdom. Kasia.Bachanek-Bankowska@pirbright.ac.uk. (2)The Pirbright Institute, Pirbright, Woking, Surrey, United Kingdom. (3)Istituto Zooprofilattico Sperimentale della Lombardia e dell'Emilia Romagna, Brescia, Italy. (4)Central Veterinary Laboratory, Department of Livestock Services, Ministry of Agricultural Development, Veterinary Complex Tripureshwor, Kathmandu, Nepal. (5)Department of Animal Production and Health, Gatambe, Peradeniya, Sri Lanka. (6)Faculty of Veterinary Medicine, University of Tripoli, Tripoli, Libya. (7)Livestock and Veterinary Division, Animal Health Laboratory, Reduit, Mauritius. (8)Virology department, Institut de la Recherche Vétérinaire de Tunisie, La Rabta, Tunis, Tunisia. (9)Virology department, Laboratoire Central Vétérinaire d'Alger, Institut National de la Médecine Vétérinaire, Algiers, Algeria. (10)Laboratoire Regional d'Analyses et de Recherches de Casablanca, Casablanca, Morocco. (11)Regional Animal Health Office No.6, Department of Animal Health, Ministry of  Agriculture and Rural Development, Ho Chi Minh City, Vietnam. (12)Department of Livestock, National Centre for Animal Health, Thimphu, Bhutan. (13)School of Animal an Veterinary Sciences, The University of Adelaide, Roseworthy, South Australia, Australia. (14)Central Veterinary Research Laboratory, Dubai, United Arab Emirates. (15)Regional Reference Laboratory for Foot-and-Mouth Disease in South-East Asia,  Department of Livestock Development, Pakchong, Thailand. (16)Laboratoire de santé animale, UMR Virologie, INRA, Ecole Nationale Vétérinaire d'Alfort, ANSES, Université Paris-Est, Maisons-Alfort Cedex, France. (17)Federal Governmental Budgetary Institution "Federal Centre for Animal Health" (FGBI "ARRIAH"), Yur'evets, Vladimir, Russia.  Foot-and-mouth disease (FMD) is a highly contagious disease of livestock affecting animal production and trade throughout Asia and Africa. Understanding FMD virus (FMDV) global movements and evolution can help to reconstruct the disease spread between endemic regions and predict the risks of incursion into FMD-free countries. Global expansion of a single FMDV lineage is rare but can result in severe economic consequences. Using extensive sequence data we have reconstructed the global space-time transmission history of the O/ME-SA/Ind-2001  lineage (which normally circulates in the Indian sub-continent) providing evidence of at least 15 independent escapes during 2013-2017 that have led to outbreaks in North Africa, the Middle East, Southeast Asia, the Far East and the  FMD-free islands of Mauritius. We demonstrated that sequence heterogeneity of this emerging FMDV lineage is accommodated within two co-evolving divergent sublineages and that recombination by exchange of capsid-coding sequences can impact upon the reconstructed evolutionary histories. Thus, we recommend that only sequences encoding the outer capsid proteins should be used for broad-scale  phylogeographical reconstruction. These data emphasise the importance of the Indian subcontinent as a source of FMDV that can spread across large distances and illustrates the impact of FMDV genome recombination on FMDV molecular epidemiology.  DOI: 10.1038/s41598-018-32693-8  PMCID: PMC6168464	30279570
7. PLoS One. 2018 Oct 2;13(10):e0204827. doi: 10.1371/journal.pone.0204827.	eCollection 2018.  Characterization of the blastogenic response to LPS of bovine peripheral blood mononuclear cells.  Amadori M(1), Soares-Filipe JF(2), Riva F(2), Vitali A(3), Ruggeri J(1), Lacetera N(3).  Author information:  (1)Laboratory of Cellular Immunology, Istituto Zooprofilattico Sperimentale della Lombardia e dell'Emilia-Romagna (IZSLER), Brescia, Italy. (2)Department of Veterinary Medicine (DIMEVET), UNIMI, Milan, Italy. (3)University of Tuscia, Department of Agriculture and Forestry Science (DAFNE),  Viterbo, Italy.  Mitogens are diverse compounds of plant and microbial origin, widely employed to  test immunocompetence in animals. The blastogenic response of bovine Peripheral Blood Mononuclear Cells (PBMC) to lypopolysaccharides (LPS) has been investigated in our laboratories for a long time. In particular, a possible correlation between blastogenic response to LPS and disease resistance of periparturient dairy cows had been observed in previous studies. Most important, low responder cows presented a higher frequency of disease cases after calving, compared with high responder animals. Owing to the above, different aspects of the blastogenic  response to LPS were investigated on PBMC of healthy Friesian cows, using a 72-hour Bromodeoxyuridin (BrDU) cell proliferation assay. Stimulation with LPS induced little if any replication of bovine PBMC over 72 hours despite consistent BrDU detection in all the PBMC samples under study. Poor replication of LPS-stimulated PBMC was confirmed by cell cycle and cell growth flow cytometry analyses. In particular, LPS stimulation gave rise to very low percentages of S phase cells, sometimes lower than in control, unstimulated cells, as opposed to Concanavalin A-stimulated PBMC. Magnetic separation and analysis of BrDU-treated  bovine PBMC after exposure to LPS showed that both B and CD4 T cells are involved in the blastogenic response to LPS, in contrast with current data based on human  and murine models. Finally, LPS caused an early, specific up-regulation of TNF-α  and TLR4 genes in bovine PBMC, and significant correlations were shown between the expression of inflammatory cytokine and Indoleamine-pyrrole 2,3-dioxygenase (IDO1) genes. On the whole, our data indicate that differences in the blastogenic response to LPS could be partly accounted for by heterogenicity of responding cells (B and T lymphocytes), which might also have an impact on induction and regulation of inflammatory responses and endotoxin tolerance.  DOI: 10.1371/journal.pone.0204827  PMCID: PMC6168128	30278079
interests exist.	  8. Sci Rep. 2018 Sep 28;8(1):14562. doi: 10.1038/s41598-018-32574-0.  Molecular diversity and antimicrobial susceptibility of Listeria monocytogenes isolates from invasive infections in Poland (1997-2013).  Kuch A(1), Goc A(2), Belkiewicz K(3), Filipello V(4)(5), Ronkiewicz P(1), Gołębiewska A(1), Wróbel I(1), Kiedrowska M(1), Waśko I(1), Hryniewicz W(1), Lomonaco S(4)(6), Skoczyńska A(1).  Author information:  (1)National Medicines Institute, Department of Epidemiology and Clinical Microbiology, Warsaw, 00-725, Poland. (2)Nicolaus Copernicus University, Department of Genetics, Toruń, 87-100, Poland. goc@umk.pl. (3)National Tuberculosis and Lung Diseases Research Institute, Department of Microbiology, Warsaw, 01-138, Poland. (4)University of Turin, Department of Veterinary Sciences, Grugliasco, 10095, Italy. (5)Istituto Zooprofilattico Sperimentale della Lombardia e dell'Emilia Romagna, Brescia, 25124, Italy. (6)US Food and Drug Administration, College Park, Maryland, 20740, USA.  The epidemiology of invasive listeriosis in humans appears to be weakly characterized in Poland, the sixth most populous member state of the European Union. We obtained antimicrobial susceptibility data, PCR-serogroups and genotypic profiles for 344 invasive isolates of Listeria monocytogenes, collected between 1997 and 2013 in Poland. All isolates were susceptible to the 10 tested antimicrobials, except one that was resistant to tetracycline and minocycline and harbored the tet(M), tet(A) and tet(C) genes. Overall, no increasing MIC values were observed during the study period. Four PCR-serogroups were observed: IVb (55.8%), IIa (34.3%), IIb (8.1%) and IIc (1.8%). We identified clonal complexes (CCs) and epidemic clones (ECs) previously involved in outbreaks worldwide, with  the most prevalent CCs/ECs being: CC6/ECII (32.6%), CC1/ECI (17.2%), CC8/ECV (6.1%) and CC2/ECIV (5.5%). The present study is the first extensive analysis of  Polish L. monocytogenes isolates from invasive infections.  DOI: 10.1038/s41598-018-32574-0  PMCID: PMC6162231	30267005
9. J Microbiol Methods. 2018 Oct;153:118-126. doi: 10.1016/j.mimet.2018.09.013. Epub	2018 Sep 21.  Development and evaluation of two multi-antigen serological assays for the diagnosis of bovine tuberculosis in cattle.  Fontana S(1), Pacciarini M(1), Boifava M(1), Pellesi R(1), Casto B(1), Gastaldelli M(2), Koehler H(3), Pozzato N(2), Casalinuovo F(4), Boniotti MB(5).  Author information:  (1)Istituto Zooprofilattico Sperimentale della Lombardia e dell'Emilia Romagna, Brescia, Italy. (2)Istituto Zooprofilattico Sperimentale delle Venezie, Verona, Italy. (3)Institute of Molecular Pathogenesis, Friedrich-Loeffler-Institut, Federal Research Institute for Animal Health, Jena, Germany. (4)Istituto Zooprofilattico Sperimentale del Mezzogiorno, Catanzaro, Italy. (5)Istituto Zooprofilattico Sperimentale della Lombardia e dell'Emilia Romagna, Brescia, Italy. Electronic address: mariabeatrice.boniotti@izsler.it.  There is currently an increased interest in the use of serological approaches in  combination with traditional cell-mediated immunity-based techniques to improve the detection of tuberculosis (TB)-infected animals. In the present study, we developed and validated two different serological TB-detection assays using four  antigens, MPB70, MPB83, ESAT6 and CFP10, and the tuberculin PPDb. A conventional  multi-antigen TB-ELISA method and a novel TB multiplex test, based on Luminex technology, were developed to detect antibodies to multiple antigen targets. The  performance levels of the two tests were evaluated and compared using selected panels of samples having known TB states. The TB-ELISA test (containing five antigens, including PPDb) had a sensitivity (Se) of 74.2% and a specificity (Sp)  of 94.9%, while the TB-Luminex test had higher Se (79.0%) and Sp (99.1%) rates even when only one reactive antigen was used to classify the test as positive. If a more restrictive criterion, requiring two positive antigens to classify the test as positive, was used, then the TB-ELISA's Sp rate increased to 99.8% but the Se decreased to 61.3%, while the TB-Luminex test's Sp rate increased to 100%  but the Se decreased to 51.2%. TB-ELISA and TB-Luminex were applied to a panel of 257 sera collected from bTB-positive herds, as determined by a post-mortem inspection. They showed good performance levels, identifying 49 (80.3%) and 48 (78.7%), respectively, of 61 samples that had tested positive by the intradermal  tuberculin (IDT) test and/or interferon-gamma assay. In addition, TB-ELISA and TB-Luminex were able to identify 60 and 42 samples as positive, respectively, out of the 196 samples that tested negative to IDT and interferon-gamma at the time of serum collection. Subsequent IDT tests performed after 1-2 months, confirmed the positivity of 18 samples, indicating the strategic value of having two serological assays to detect TB-infected herds that were not reactive to initial  IDT testing, thereby allowing for the rapid control of outbreaks and eradication  of the disease.  Copyright © 2018 Elsevier B.V. All rights reserved.  DOI: 10.1016/j.mimet.2018.09.013 	30248441
10. Int J Food Microbiol. 2018 Sep 17;289:162-167. doi:	10.1016/j.ijfoodmicro.2018.09.012. [Epub ahead of print]  ESβL E. coli isolated in pig's chain: Genetic analysis associated to the phenotype and biofilm synthesis evaluation.  Barilli E(1), Vismarra A(2), Villa Z(1), Bonilauri P(3), Bacci C(1).  Author information:  (1)Department of Veterinary Sciences, Food Safety Unit, University of Parma, Italy. (2)Department of Veterinary Sciences, Food Safety Unit, University of Parma, Italy. Electronic address: alice.vismarra@unipr.it. (3)Istituto Zooprofilattico Sperimentale della Lombardia e dell'Emilia Romagna -  IZSLER - Sezione di Reggio Emilia, Italy.  Resistance to new generation cephalosporins is an important public health problem globally, in terms of economic and social costs, morbidity and mortality. Βeta-lactamase enzymes are mainly responsible for the antibiotic resistance of Gram negative bacteria and extended-spectrum-β-lactamases (ESβLs) are one of the  major determinants of resistance against oxymino-cephalosporins in Enterobacteriaceae. Food-producing animals represent one of the sources of antibiotic resistant bacteria, including pigs. Here we analysed the presence of E. coli resistant to III generation cephalosporins isolated from different matrices collected from intensively bred pigs. A total of 498 E. coli were isolated from faeces and carcasses of pigs at slaughterhouse as well as from pork meat and sausages. Among these, 73 were phenotypically confirmed to be ESβL producers. Genetic analysis revealed that all except two harboured at least one of the three selected genes: blaCTX-M, blaTEM, and blaSHV. Furthermore, six of the E. coli ESβL isolated from faeces and carcasses swabs, were also able to produce biofilm, highlighting the virulence potential of these strains. The presence of Multi-Drug-Resistance patterns (MDR) recorded by the 73 ESβL E. coli  was significant (60% of the strains were resistant to more than six antibiotics in MIC test). Results from the present study show that the transmission of resistant bacteria is possible along the food chain, including production of pork, one the most highly consumed meats around the world. Transmission is possible through the ingestion of raw meat products, and following cross-contamination between raw and cooked foods during preparation. The potential risk for human health demonstrated here, associated with the consumption of pork contaminated with bacterial strains characterized by multidrug resistance patterns, and the ability to produce ESβL and biofilm, is cause for concern. It is imperative to study future control strategies to avoid or limit as much as possible the transmission of these highly pathogenic strains  through food consumption and/or contact with the environment.  Copyright © 2018 Elsevier B.V. All rights reserved.  DOI: 10.1016/j.ijfoodmicro.2018.09.012 	30245289
