"words"	"Freq"
"italy"	531
"virus"	317
"e"	295
"strains"	257
"samples"	255
"study"	243
"sperimentale"	224
"zooprofilattico"	221
"different"	217
"isolates"	207
"della"	196
"results"	188
"pigs"	183
"lombardia"	180
"showed"	172
"dell"	169
"disease"	169
"infection"	165
"brescia"	163
"emilia"	163
"animals"	152
"romagna"	152
"both"	151
"information"	147
"viruses"	147
"analysis"	146
"s"	146
"positive"	144
"been"	141
"species"	141
"via"	133
"detected"	130
"swine"	127
"three"	125
"author"	120
"during"	118
"has"	117
"using"	116
"health"	114
"isolated"	112
"control"	110
"observed"	110
"salmonella"	110
"data"	109
"high"	105
"presence"	105
"animal"	103
"clinical"	103
"cells"	102
"veterinary"	102
"gene"	101
"human"	101
"university"	99
"used"	98
"milk"	97
"farms"	96
"influenza"	96
"tested"	96
"among"	95
"di"	95
"method"	94
"collected"	93
"detection"	93
"strain"	89
"found"	87
"identified"	87
"performed"	85
"wild"	85
"genes"	82
"address"	81
"electronic"	81
"group"	81
"25124"	80
"b"	80
"infected"	80
"may"	80
"more"	79
"based"	78
"test"	78
"cell"	77
"methods"	77
"european"	76
"pcr"	76
"pig"	76
"bovine"	74
"prevalence"	73
"four"	72
"italian"	72
"surveillance"	72
"compared"	71
"number"	71
"related"	69
"resistance"	69
"genetic"	68
"higher"	68
"same"	68
"significant"	68
"viral"	68
"while"	68
"dairy"	67
"food"	67
"specific"	67
"(1)istituto"	66
"humans"	65
"assay"	64
"de"	64
"potential"	64
"bianchi"	63
"low"	63
"risk"	63
"diseases"	62
"important"	62
"each"	61
"northern"	61
"obtained"	61
"herds"	60
"istituto"	60
"total"	60
"type"	60
"infections"	59
"respectively"	59
"sequence"	59
"area"	58
"antibodies"	57
"elisa"	57
"molecular"	57
"response"	57
"spread"	57
"isolation"	56
"outbreaks"	56
"population"	56
"transmission"	56
"cases"	55
"cows"	55
"developed"	55
"m"	55
"porcine"	55
"reported"	55
"through"	55
"within"	55
"avian"	54
"contamination"	54
"days"	54
"diagnostic"	54
"vaccine"	54
"farm"	53
"characterized"	52
"coli"	52
"europe"	52
"had"	52
"however"	52
"investigated"	52
"p"	52
"production"	52
"research"	52
"revealed"	52
"role"	52
"against"	51
"associated"	51
"including"	51
"such"	51
"environmental"	50
"i"	50
"carried"	49
"cattle"	49
"considered"	49
"due"	49
"expression"	49
"field"	49
"outbreak"	49
"genotype"	48
"groups"	48
"region"	48
"level"	47
"levels"	47
"sera"	47
"c"	46
"possible"	46
"areas"	45
"caused"	45
"evaluate"	45
"infectious"	45
"l"	45
"model"	45
"sciences"	45
"sequencing"	45
"tests"	45
"typhimurium"	45
"typing"	45
"able"	44
"blood"	44
"evaluated"	44
"increased"	44
"monocytogenes"	44
"pavia"	44
"period"	44
"sequences"	44
"ubertini\""	44
"belonging"	43
"cause"	43
"conditions"	43
"identification"	43
"laboratory"	43
"studies"	43
"acid"	42
"common"	42
"epidemiological"	42
"immune"	42
"institute"	42
"piglets"	42
"public"	42
"significantly"	42
"-"	41
"aim"	41
"distribution"	41
"lesions"	41
"main"	41
"map"	41
"present"	41
"several"	41
"single"	41
"spp"	41
"whereas"	41
"activity"	40
"applied"	40
"assays"	40
"bovis"	40
"confirmed"	40
"countries"	40
"emilia-romagna"	40
"genome"	40
"lower"	40
"mortality"	40
"protein"	40
"treatment"	40
"wnv"	40
"10"	39
"antibody"	39
"department"	39
"growth"	39
"h1n1"	39
"highly"	39
"order"	39
"system"	39
"very"	39
"virulence"	39
"demonstrated"	38
"increase"	38
"respiratory"	38
"centre"	37
"epidemic"	37
"identify"	37
"moreover"	37
"novel"	37
"particular"	37
"pathogens"	37
"real-time"	37
"should"	37
"t"	37
"(izsler)"	36
"approach"	36
"culture"	36
"differences"	36
"findings"	36
"further"	36
"medicine"	36
"products"	36
"12"	35
"addition"	35
"france"	35
"here"	35
"mosquitoes"	35
"rabbits"	35
"signs"	35
"under"	35
"vaccinated"	35
"affected"	34
"although"	34
"birds"	34
"development"	34
"h1n2"	34
"host"	34
"meat"	34
"mycobacterium"	34
"negative"	34
"pathogenic"	34
"phylogenetic"	34
"populations"	34
"reference"	34
"serological"	34
"six"	34
"subtypes"	34
"therefore"	34
"being"	33
"circulation"	33
"five"	33
"resulted"	33
"selected"	33
"similar"	33
"specificity"	33
"vaccination"	33
"analyses"	32
"effect"	32
"factors"	32
"regions"	32
"sensitivity"	32
"since"	32
"spain"	32
"suggest"	32
"those"	32
"years"	32
"bacteria"	31
"circulating"	31
"experimental"	31
"following"	31
"izs"	31
"measures"	31
"occurred"	31
"overall"	31
"reaction"	31
"recent"	31
"rome"	31
"safety"	31
"sampled"	31
"susceptibility"	31
"thus"	31
"vitro"	31
"worldwide"	31
"assess"	30
"case"	30
"chain"	30
"cheese"	30
"d"	30
"described"	30
"domestic"	30
"mabs"	30
"major"	30
"show"	30
"types"	30
"without"	30
"antigenic"	29
"conclusions"	29
"did"	29
"genotypes"	29
"importance"	29
"previously"	29
"recently"	29
"\"bruno"	28
"2013"	28
"antibiotic"	28
"diagnosis"	28
"herd"	28
"highest"	28
"ifn-Ó±"	28
"large"	28
"monitoring"	28
"national"	28
"performance"	28
"pools"	28
"process"	28
"serum"	28
"values"	28
"2009"	27
"amino"	27
"antimicrobial"	27
"background"	27
"complex"	27
"currently"	27
"detect"	27
"early"	27
"effective"	27
"enterica"	27
"genomic"	27
"isolate"	27
"known"	27
"mrsa"	27
"occurrence"	27
"pathogen"	27
"represent"	27
"resistant"	27
"second"	27
"sites"	27
"testing"	27
"tuberculosis"	27
"west"	27
"11"	26
"5%"	26
"analysed"	26
"cats"	26
"contaminated"	26
"effects"	26
"examined"	26
"limit"	26
"mainly"	26
"mosquito"	26
"natural"	26
"origin"	26
"previous"	26
"rapid"	26
"small"	26
"terms"	26
"where"	26
"zoonotic"	26
"available"	25
"characterization"	25
"concentration"	25
"direct"	25
"dynamics"	25
"goats"	25
"ha"	25
"impact"	25
"investigate"	25
"located"	25
"mass"	25
"nile"	25
"portugal"	25
"recorded"	25
"reduction"	25
"subtype"	25
"survey"	25
"universit„†"	25
"weaning"	25
"3%"	24
"8%"	24
"assessed"	24
"bacterial"	24
"commercial"	24
"complete"	24
"del"	24
"furthermore"	24
"h3n2"	24
"increasing"	24
"indirect"	24
"inflammatory"	24
"management"	24
"many"	24
"parma"	24
"procedure"	24
"profiles"	24
"reduced"	24
"responses"	24
"shown"	24
"suggesting"	24
"useful"	24
"value"	24
"viale"	24
"y"	24
"according"	23
"analyzed"	23
"association"	23
"better"	23
"boar"	23
"bulk"	23
"evidence"	23
"faecal"	23
"followed"	23
"involved"	23
"last"	23
"mastitis"	23
"per"	23
"poultry"	23
"range"	23
"rate"	23
"responsible"	23
"seroprevalence"	23
"above"	22
"age"	22
"and/or"	22
"calves"	22
"characteristics"	22
"combined"	22
"concentrations"	22
"economic"	22
"evolution"	22
"fmdv"	22
"genus"	22
"gondii"	22
"polymerase"	22
"porto"	22
"rabbit"	22
"raw"	22
"rt-pcr"	22
"salami"	22
"sanit„†"	22
"serovar"	22
"severe"	22
"tissue"	22
"tool"	22
"validated"	22
"whole"	22
"ability"	21
"acute"	21
"analytical"	21
"aureus"	21
"belonged"	21
"biological"	21
"carcasses"	21
"clonal"	21
"conclusion"	21
"considering"	21
"degli"	21
"determination"	21
"either"	21
"environment"	21
"especially"	21
"established"	21
"exposure"	21
"few"	21
"flaviviruses"	21
"lombardy"	21
"might"	21
"n"	21
"need"	21
"pedv"	21
"showing"	21
"slaughter"	21
"tissues"	21
"virulent"	21
"whether"	21
"22"	20
"changes"	20
"current"	20
"cycle"	20
"density"	20
"determined"	20
"dna"	20
"epidemiology"	20
"evaluation"	20
"indicate"	20
"knowledge"	20
"mean"	20
"objective"	20
"pandemic"	20
"paratuberculosis"	20
"pfge"	20
"prrsv"	20
"qpcr"	20
"relevant"	20
"report"	20
"source"	20
"sp"	20
"superiore"	20
"systems"	20
"ticks"	20
"ubertini"	20
"2010"	19
"2011"	19
"3%)"	19
"aedes"	19
"agent"	19
"causes"	19
"chicken"	19
"closely"	19
"combination"	19
"consumption"	19
"feed"	19
"hosts"	19
"ii"	19
"intestinal"	19
"less"	19
"likely"	19
"lineage"	19
"lines"	19
"losses"	19
"nucleotide"	19
"oral"	19
"parameters"	19
"pipiens"	19
"product"	19
"profile"	19
"prototheca"	19
"rates"	19
"recognized"	19
"residues"	19
"rhdv2"	19
"routine"	19
"sample"	19
"serotype"	19
"set"	19
"sheep"	19
"sows"	19
"strategy"	19
"susceptible"	19
"treatments"	19
"(0"	18
"(3)istituto"	18
"(n"	18
"1%"	18
"16"	18
"6%"	18
"administration"	18
"alternative"	18
"attenuated"	18
"average"	18
"confirming"	18
"delle"	18
"ed"	18
"eradication"	18
"indicated"	18
"introduction"	18
"line"	18
"livestock"	18
"mab"	18
"mice"	18
"milan"	18
"models"	18
"often"	18
"probability"	18
"proved"	18
"reassortant"	18
"recovery"	18
"reservoir"	18
"rna"	18
"standard"	18
"status"	18
"tandem"	18
"unit"	18
"wide"	18
"\"b"	17
"(1"	17
"14"	17
"25123"	17
"7/9"	17
"9%"	17
"additional"	17
"amplification"	17
"antigen"	17
"avium"	17
"before"	17
"bologna"	17
"causing"	17
"challenge"	17
"clone"	17
"clusters"	17
"contact"	17
"decision"	17
"decrease"	17
"emerging"	17
"geographical"	17
"hepatitis"	17
"hev"	17
"included"	17
"life"	17
"listeria"	17
"local"	17
"log"	17
"mutations"	17
"optimal"	17
"panel"	17
"patterns"	17
"presented"	17
"probably"	17
"produced"	17
"provide"	17
"quantitative"	17
"replication"	17
"result"	17
"ruminants"	17
"site"	17
"structure"	17
"studi"	17
"support"	17
"unknown"	17
"urine"	17
"variability"	17
"variant"	17
"widely"	17
"widespread"	17
"(1)department"	16
"19"	16
"2008"	16
"7%"	16
"activities"	16
"basis"	16
"biology"	16
